Starting Training Loop...
[18/20][350/434]	Loss_D: 0.4437	Loss_G: 1.4925	D(x): 0.7077	D(G(z)): 0.0316 / 0.2947
[18/20][400/434]	Loss_D: 0.1572	Loss_G: 3.9991	D(x): 0.9018	D(G(z)): 0.0341 / 0.0302
[19/20][0/434]	Loss_D: 0.2505	Loss_G: 6.0065	D(x): 0.9515	D(G(z)): 0.1624 / 0.0045
[19/20][50/434]	Loss_D: 0.3883	Loss_G: 5.2747	D(x): 0.9064	D(G(z)): 0.2110 / 0.0084
[19/20][100/434]	Loss_D: 0.5064	Loss_G: 7.6816	D(x): 0.9864	D(G(z)): 0.3433 / 0.0009
[19/20][150/434]	Loss_D: 0.2385	Loss_G: 2.3726	D(x): 0.8976	D(G(z)): 0.1040 / 0.1616
[19/20][200/434]	Loss_D: 0.1941	Loss_G: 4.6730	D(x): 0.9605	D(G(z)): 0.1207 / 0.0190
[19/20][250/434]	Loss_D: 0.3711	Loss_G: 4.2773	D(x): 0.8421	D(G(z)): 0.1495 / 0.0244
[19/20][300/434]	Loss_D: 0.6488	Loss_G: 2.8292	D(x): 0.6277	D(G(z)): 0.0365 / 0.1205
[19/20][350/434]	Loss_D: 0.4474	Loss_G: 6.6069	D(x): 0.9894	D(G(z)): 0.3126 / 0.0035
[19/20][400/434]	Loss_D: 0.2654	Loss_G: 6.1315	D(x): 0.9644	D(G(z)): 0.1824 / 0.0036
Starting Training Loop...
[0/20][0/425]	Loss_D: 1.8093	Loss_G: 3.4233	D(x): 0.3859	D(G(z)): 0.2884 / 0.0379
[0/20][50/425]	Loss_D: 0.0013	Loss_G: 49.0795	D(x): 0.9987	D(G(z)): 0.0000 / 0.0000
[0/20][100/425]	Loss_D: 0.0001	Loss_G: 48.8882	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][150/425]	Loss_D: 0.0012	Loss_G: 48.7144	D(x): 0.9989	D(G(z)): 0.0000 / 0.0000
[0/20][200/425]	Loss_D: 0.0001	Loss_G: 48.3162	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][250/425]	Loss_D: 0.0000	Loss_G: 48.4339	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[0/20][300/425]	Loss_D: 0.0000	Loss_G: 47.8758	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[0/20][350/425]	Loss_D: 0.0000	Loss_G: 47.8913	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[0/20][400/425]	Loss_D: 0.0000	Loss_G: 47.3771	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][0/425]	Loss_D: 0.0000	Loss_G: 47.5285	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][50/425]	Loss_D: 0.0000	Loss_G: 47.4354	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][100/425]	Loss_D: 0.0000	Loss_G: 47.2711	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][150/425]	Loss_D: 0.0000	Loss_G: 47.4640	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][200/425]	Loss_D: 0.0000	Loss_G: 47.1872	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][250/425]	Loss_D: 0.0000	Loss_G: 47.5697	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][300/425]	Loss_D: 0.0000	Loss_G: 47.2972	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][350/425]	Loss_D: 0.0000	Loss_G: 47.3067	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][400/425]	Loss_D: 0.0000	Loss_G: 47.2401	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][0/425]	Loss_D: 0.0001	Loss_G: 46.9035	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[2/20][50/425]	Loss_D: 0.0000	Loss_G: 47.3924	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][100/425]	Loss_D: 0.0000	Loss_G: 47.1550	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][150/425]	Loss_D: 0.0000	Loss_G: 46.8843	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][200/425]	Loss_D: 0.0000	Loss_G: 47.0834	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][250/425]	Loss_D: 0.0000	Loss_G: 47.1521	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][300/425]	Loss_D: 0.0000	Loss_G: 47.1425	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][350/425]	Loss_D: 0.0000	Loss_G: 47.0222	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[2/20][400/425]	Loss_D: 0.0000	Loss_G: 46.8555	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][0/425]	Loss_D: 0.0000	Loss_G: 46.7042	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][50/425]	Loss_D: 0.0000	Loss_G: 46.3702	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][100/425]	Loss_D: 0.0000	Loss_G: 46.6593	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][150/425]	Loss_D: 0.0000	Loss_G: 46.7930	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][200/425]	Loss_D: 0.0000	Loss_G: 46.5707	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][250/425]	Loss_D: 0.0000	Loss_G: 47.2443	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][300/425]	Loss_D: 0.0000	Loss_G: 46.5938	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][350/425]	Loss_D: 0.0000	Loss_G: 46.6949	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[3/20][400/425]	Loss_D: 0.0000	Loss_G: 46.7194	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[4/20][0/425]	Loss_D: 0.0000	Loss_G: 46.3571	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
